candidate_relation_triple,label
javascript be run outside of the browser,1
javascript runs on every operating system,1
javascript cascading cascading style sheets,1
the mozilla developer network was developed under the name mocha,1
modern browsers implement javascript,1
scripts run in a sandbox,1
the java language derives much of c,1
the java language derives much of c++,1
java applications are typically compiled to bytecode,1
the jvm compiles code,1
the jvm optimize performance,1
the jvm manages memory,1
java supports native interface,1
java is designed to have few implementation dependencies,1
java was originally developed by james gosling,1
java was originally developed by sun microsystems,1
java was released in a core component,1
java was started as a project,1
computing systems have installed running java programs,1
java is compiled into bytecode,1
bytecode is then compiled by native machine code,1
bytecode is then compiled by the jvm,1
java se will be released every six months,1
java programs increase readability,1
java source code is compiled to an intermediate form,1
an intermediate form can be executed with the java command,1
python incorporates dynamic data types,1
python incorporates modules,1
python incorporates classes,1
python incorporates exceptions,1
python incorporates dynamic typing,1
python combines remarkable power,1
python combines clear syntax,1
python has interfaces to many system calls,1
python has interfaces to libraries,1
python has interfaces to various window systems,1
python has interfaces to many system calls,1
python has interfaces to libraries,1
python has interfaces to various window systems,1
python is extensible in c,1
python is extensible in c++,1
python is also usable as an extension language,1
python runs on many unix variants,1
python was originally created by guido van rossum,1
python supports multiple programming paradigms,1
python features dynamic type system,1
python features automatic memory management,1
python is often used as other dynamic languages,1
python is often used as a scripting language,1
python interpreters are available for many operating systems,1
python comes with a basic ide called idle,1
easy_install installing installing dependencies,1
easy_install was notable at the time,1
a simple python library uses c apis,1
scrapy can be used for testing,1
scrapy can be used for data mining,1
beautiful soup is available for python,1
beautiful soup is available for python,1
level python web framework encourages pragmatic design,1
level python web framework encourages rapid development,1
flask provides monolithic structure,1
flask does not enforce dependencies,1
tornado can scale to open connections,1
web framework build web applications,1
the emerging wsgi standard allows extensive re-use,1
turbogears was created in kevin dangoor,1
falcon encourages architectural style,1
kivy supports multiple platforms,1
kivy comes with over 20 widgets,1
pyqt is available for sharp zaurus,1
pyqt is available for linux,1
pyqt is available for windows,1
pyqt is available for mac os x,1
tkinter is commonly bundled with python,1
tkinter is popular for graphical user interface,1
scipy includes algorithms,1
scipy includes tools,1
scipy is closely related to numpy,1
scipy depends on many numpy functions,1
matplotlib provides api,1
matplotlib provides applications,1
pandas integrates matplotlib's plotting capabilities,1
pandas integrates many other libraries' features,1
pandas integrates numpy's matrix operations,1
theano features automatic differentiation,1
theano supports training,1
theano supports testing,1
cython makes writing c extensions,1
the original php project invented by rasmus lerdorf,1
3v4l act like jsfiddle,1
php sandbox act like jsfiddle,1
codepad act like jsfiddle,1
the pear repository is also possible to download the documentation,1
php is often paired with relational database,1
php includes great database support,1
pecl extensions offer nosql,1
packagist contain many of popular php libraries,1
android is designed primarily for mobile devices,1
google has further developed android tv,1
google has further developed televisions,1
butterknife otto picassogreendao android developers contains the sdk downloads,1
butterknife otto picassogreendao android developers contains class reference,1
butterknife otto picassogreendao android developers contains tutorials,1
android open source project contains all necessary information,1
google developer conference contains videos,1
google developer conference contains slides,1
google developer conference contains videos,1
google developer conference contains slides,1
android be found on the android developer site,1
html was invented by lee,1
html tags were first publicly mentioned by lee,1
html tags borrowed documentation standard,1
html elements form the building blocks,1
html allows images,1
html allows objects,1
html can be used to create interactive forms,1
html create structured documents,1
html can embed scripts,1
html standards are maintained by wide web consortium,1
html markups are designed css,1
jquery simplifies html document traversal,1
jquery simplifies manipulation,1
jquery simplifies event handling,1
jquery simplifies ajax,1
jquery supports internet explorer version,1
jquery supports mobile browser,1
c++ was developed in the early 1980s,1
c++ was developed in bjarne stroustrup,1
c++ improved type improved safety,1
c++ compiler optimized numerical computations,1
the c++ committee published the first international standard,1
adding coroutines gcc c++20 language support add command line parameter,1
clang c++20 language support add command line parameter,1
complex selectors can be created by joining multiple simple ones,1
os is one of ibm's operating systems,1
os is one of ibm's operating systems,1
ios 14.4 beta released on december,1
os x is based on os foundation,1
each ios application own secure sandbox,1
an ios application can have extensions,1
ios is optimized for graphics,1
ios is optimized for processor,1
ios is optimized for memory constraints,1
interface control elements consist of sliders,1
interface control elements consist of switches,1
interface control elements consist of buttons,1
interaction includes gestures,1
internal accelerometers can be used by applications,1
gyroscopes can be used by applications,1
internal accelerometers rotating three dimensions,1
cocoapods includes ten thousand libraries,1
cocoapods help programmers scale projects,1
cocoapods does not store a central list,1
mysql source code is available under the gnu,1
mysql offers standard database driver connectivity,1
standard sql is based on relational algebra,1
ddl is used to create tables,1
ddl is used to create constraints,1
dml is used to modify data,1
vendors have implemented dialects,1
vendors provide functionality,1
oracle use standard sql,1
postgresql use standard sql,1
microsoft sql server uses sql,1
r was created by ross ihaka,1
r was created by robert gentleman,1
r is now developed by the r development core team,1
the r environment is easily extended through the comprehensive r archive network,1
the r environment is easily extended through a packaging system,1
o runtime uses google's v8 javascript engine,1
o runtime uses libuv library,1
node.js is often used for developing developing applications,1
node.js supports the commonjs standard,1
asp.net is built on the common language runtime,1
asp.net uses a webforms style,1
asp.net includes own controls library,1
html helper methods blend html markup,1
c is distinct from c++,1
the c programming language was based on cpl.,1
the c programming language was based on programming languages b,1
the c programming language was based on bcpl,1
the c language are standardized as iec,1
c was designed for implementing implementing system software,1
a draft version n2176 is also widely used for developing portable application software,1
c has greatly influenced many other popular programming languages,1
assembly language was designed to encourage level capabilities,1
assembly language was designed to encourage cross-platform programming,1
c program can be compiled for wide variety,1
assembly language has become available on microcontrollers,1
ruby follows the popular mvc framework model,1
ruby is known for rails,1
the mvc architectural design pattern separates web applications,1
ruby is based on the mvc architectural design pattern,1
json using a json validator,1
json is defined by rfc,1
microsoft sql server originated from microsoft sql server 4.x codebase,1
standard components include schedulers,1
standard components include database language,1
standard components include replication,1
standard components include storage server,1
standard components include developer tools,1
standard components include etl tools,1
sql server express has reduced engine performance,1
sql server express has reduced capacity,1
sql server express is focused on runs,1
sql server express is focused on an nt service,1
sql server express is focused on small deployments,1
sql server compact edition focused on small installations,1
sql server compact edition focused on desktop applications,1
react has since been made open source,1
a virtual dom diff implementation render on the server using node.js,1
reactive data flow using props reduce boilerplate,1
swift distributed as open source,1
swift promises to modernize the developer experience,1
the swift syntax retains some elements,1
swift applications compile into standard binaries,1
swift applications can be run on os x,1
swift was introduced by apple,1
swift was introduced by wwdc,1
swift was introduced by apple,1
swift was introduced by wwdc,1
swift will come to non-apple platforms,1
swift was introduced by apple,1
swift was introduced by wwdc,1
swift was introduced by apple,1
swift was introduced by wwdc,1
swift was introduced with xcode,1
swift was introduced with xcode,1
swift was introduced with xcode,1
swift was introduced with xcode,1
c was created primarily by the early 1980s,1
c was created primarily by company stepstone,1
c was created primarily by brad cox,1
c was created primarily by tom love,1
c adds defining classes,1
c adds object literals,1
c derives c object syntax,1
c derives smalltalk,1
python features simplifications,1
python features improvements,1
python is strongly recommended for any new development,1
django is designed to reduce the effort,1
django is designed to reduce redundancy,1
django follows architectural pattern,1
angularjs is used internally by google,1
pipes are used for transforming transforming values,1
pipes are used for transforming one form,1
angular versioning follows semantic versioning principles,1
general help regarding ms excel is available at super user,1
ms excel features visual basic,1
regular expressions provide a declarative language,1
regular expressions are commonly used for string validation,1
regular expressions are commonly used for transformation,1
the canonical post contains links,1
regular expressions are available in programming languages,1
regular expressions are available in dialects,1
regular expressions are available in processing tools,1
bre will need backslashes,1
regular expressions are useful in a wide variety,1
google offers re2,1
google does not backtrack linear runtime growth,1
native ios applications are written in c,1
native ios applications are written in swift,1
native ios applications are written in c,1
native ios applications are written in swift,1
native ios applications using the cocoa touch frameworks,1
native ios applications using the cocoa touch frameworks,1
the cocoa touch frameworks share many classes,1
the cocoa touch frameworks share features,1
the cocoa touch frameworks are distinct from cocoa,1
cocoa is used exclusively for macos development,1
the iphone has several hardware features,1
the iphone has sensors,1
the iphone use the cocoa touch frameworks,1
ipod touch applications use the cocoa touch frameworks,1
the iphone are developed using the xcode ide,1
the iphone use the cocoa touch frameworks,1
ruby was initially conceived on yukihiro matsumoto,1
ajax uses asynchronous data exchange,1
each html request would provide additional information,1
each html request would provide additional information,1
each html request would provide data,1
each html request would provide data,1
ajax is supported by all modern browsers,1
x stands for xml,1
json has replaced xml,1
json has replaced the data interchange format,1
javascript parses text,1
xml must be parsed by cumbersome set,1
the common unix tools carry many basic operating system tasks,1
xml is defined in the xml 1.0 specification,1
xml allows creating custom tags,1
xml is also used in some protocols,1
schemas are usually defined with an external namespace,1
xml define tags,1
xml is forward compatible with the unicode standard,1
pandas is implemented primarily using using numpy,1
pandas is implemented primarily using cython,1
the asp.net mvc framework provides creating web applications,1
the asp.net mvc framework has become webforms,1
microsoft has shipped the asp.net mvc 4 release,1
microsoft has shipped the nuget package management system,1
microsoft has shipped the asp.net mvc 4 release,1
microsoft has shipped the nuget package management system,1
mvc3 applies to mvc4,1
mvc3 applies to mvc5.x,1
vba is not equivalent to vb.net,1
vba is not equivalent to vbs,1
visual basic was introduced to office,1
visual basic was introduced to access,1
visual basic was introduced to powerpoint,1
visual basic was introduced to word,1
vba derives from the classic visual basic programming language,1
vba create independent executables,1
vba create dlls,1
vba create classic vb,1
vba includes a myriad,1
vba address bit version,1
applications using vba must address compatibility,1
applications using vba must address safe issues,1
vba was removed from office,1
vba was removed from mac,1
vba is supported only in the desktop application versions,1
vba inherits much of the basic programming language,1
the spring framework complements the java ee apis,1
the spring framework reduces boilerplate code,1
spring provides the application domain,1
an atomic system must guarantee atomicity,1
b2 used php,1
b2 used mysql,1
laravel created by taylor otwell,1
laravel intended for the development,1
mvc framework released under the mit license,1
string representations vary widely in the features string representations,1
wpf runtime libraries are included in windows server,1
wpf employs xaml,1
wpf applications be deployed as standalone desktop programs,1
wpf aims to unify pre-rendered media,1
wpf aims to unify typography,1
wpf aims to unify common user interface elements,1
wpf aims to unify vector graphics,1
wpf aims to unify runtime animation,1
microsoft has released six major wpf versions,1
wpf runtime libraries will be provided by microsoft,1
mongodb uses the bson format,1
mongodb uses storing data,1
mongodb uses the mongodb wire protocol,1
community supported drivers offer alternative implementations,1
mongodb server releases can be installed via common packaging systems,1
typescript was developed by microsoft,1
postgresql is developed by the postgresql global development group,1
bash offers numerous additions,1
c shell offers functional improvements,1
the kornshell offers functional improvements,1
sh scripts can be run by bash,1
bash was written by brian fox,1
linux installations should be using the 4.x family,1
net is one of c#,1
net is one of f#,1
net can be viewed as an evolution,1
net can be viewed as an evolution,1
net implemented on microsoft,1
net continues from vb6,1
"microsoft decided to drop the \\".net",1
git was initially designed linus torvalds,1
git was initially designed linux kernel development,1
linus torvalds is maintained by junio hamano,1
every git working directory contains fledged repository,1
every git working directory contains fledged repository,1
oracle database supports a large number,1
threads share memory,1
threads share variables,1
a processor can create multiple threads,1
each thread has own stack,1
each thread has variables,1
each thread has id,1
amdahl's law governs the diminishing amount,1
eclipse ide used for java development,1
eclipse ide is built on an osgi implementation,1
eclipse be used as a development environment,1
the eclipse cdt project provides ins,1
the eclipse cdt project provides c++ development,1
the eclipse cdt project create c++ development environment,1
the eclipse cdt project supplies ins,1
the eclipse cdt project supplies developing open web standards,1
the eclipse cdt project provides a plugin,1
the eclipse cdt project provides php development,1
the eclipse cdt project create a php development environment,1
the popular commercial zend studio is also based on eclipse ide,1
pydev provides ins,1
pydev provides python development,1
the eclipse cdt project provides a plugin,1
the eclipse cdt project provides perl development,1
the eclipse cdt project create a perl development environment,1
google has ceased developing the android development tools,1
eclipse is synonymous with the java ide,1
amazon web services are also accessible through soap apis,1
a good algorithm may outperform a poor algorithm,1
a good algorithm may outperform large datasets,1
a good algorithm may outperform several orders,1
algorithm performance is often rated with big o,1
a key algorithm classification is known as algorithm complexity,1
swift providing providing user interface,1
swift providing level services,1
macos consists of kernel,1
apple purchased in next inc.,1
macos is based upon the nextstep,1
macos is based upon openstep operating systems,1
a web form element is characterized by the action,1
images are typically rendered as a two dimensional matrix,1
scala fuses functional programming styles,1
scala fuses programming styles,1
general server help can be obtained at super user,1
microsoft publishes a comparison table,1
bootstrap includes base css,1
bootstrap includes html,1
less was replaced with sass,1
native react runs the javascript code,1
native react runs a react app,1
docker been implemented on ms windows,1
docker builds level api,1
docker runs in windows,1
docker runs in x,1
docker runs in some variety,1
latency is often qualified with a statistical measure,1
r used in sql,1
r used in matlab,1
scripting language included with microsoft windows,1
scripting language included with microsoft windows server 2008 r2,1
scripting language included with microsoft windows server,1
scripting language included with microsoft windows,1
scripting language included with microsoft windows server,1
powershell has pattern matching,1
powershell has syntax,1
powershell has string expansion,1
powershell has support,1
windows powershell ise has unicode support,1
windows powershell ise is designed around cmdlets,1
windows powershell ise is designed around line shell,1
date returns the current date,1
keywords have short aliases,1
managing system offer powershell integration,1
powershell takes the unix idea,1
windows components have been extended to provide a system management environment,1
microsoft products have been extended to provide a system management environment,1
powershell enhances piping,1
windows components have been extended to provide native powershell,1
microsoft products have been extended to provide native powershell,1
parenthesis separated comma separated arguments,1
numpy be used as an efficient multi-dimensional container,1
numpy be used as obvious scientific uses,1
numpy provides efficient methods,1
numpy integrates easily with other methods,1
numpy is released under the bsd license,1
sql syntax does not guarantee the domain integrity,1
sqlite has a simple implementation,1
sqlite is commonly used to store windows phone apps,1
the sqlite engine has no standalone processes,1
the sqlite engine has server database management systems,1
orm provides relational mapping,1
the selenium ide provides playback tool,1
the selenium ide provides authoring tests,1
selenium deploys on windows,1
selenium deploys on linux,1
selenium deploys on macintosh platforms,1
selenium was originally developed by jason huggins,1
selenium released under the apache 2.0 license,1
selenium ide allows debugging tests,1
selenium ide is implemented as a firefox extension,1
selenium ide was previously known as selenium recorder,1
selenium ide was originally created by shinya kasatani,1
selenium ide donated to the selenium project,1
selenium recorder allows debugging tests,1
selenium recorder is implemented as a firefox plugin,1
selenium recorder was initially created by saucelabs,1
flutter development is currently supported on linux,1
flutter development is currently supported on mac os x,1
flutter development is currently supported on windows operating systems,1
flutter is developed google,1
flutter uses webview,1
flutter uses the oem widgets,1
flutter own performance rendering engine,1
flutter offers engine performance,1
flutter offers fast development experience,1
flutter offers fast runtime,1
soap tries to model the exchange,1
qt is available with open source licenses,1
qt was created by trolltech,1
qt was acquired by nokia,1
qt is managed by the qt company,1
qt aims at creating creating qt applications,1
qt can be used to create regular c++ applications,1
apache maven can manage a project's build,1
apache maven can manage reporting,1
apache maven can manage documentation,1
apache maven adheres to the principle,1
a global super pom defined common properties,1
each pom file inherits from a global super pom,1
android studio provides integrated android developer tools,1
vue.js requires an intermediate level,1
vue.js is mainly used for end development,1
vue embraces manual updates,1
vue can be built upon increasing vue functionality,1
url redirection using mod_rewrite provide urls,1
url redirection using mod_rewrite is used by seo purposes,1
tensorflow provides a python api,1
tensorflow executing executing data flow graphs,1
tensorflow includes tensorboard,1
the tensorflow community tends to favor ubuntu linux,1
tensorflow is released under an apache 2.0 license,1
symfony refers to a php framework,1
symfony aims to speed maintenance,1
symfony replace repetitive coding tasks,1
symfony is aimed at robust applications,1
symfony help developers test,1
symfony help debug,1
symfony help document projects,1
codeigniter is loosely based on controller development pattern,1
apache spark offers a general execution model,1
apache spark is not tied to stage mapreduce paradigm,1
spark provides primitives,1
memory cluster computing allows user programs,1
spark provides memory cluster computing,1
spark can be used to tackle stream processing problems,1
apache spark provides concise apis,1
apache spark provides java,1
apache spark provides python,1
apache spark provides r,1
apache spark provides scala,1
a date consists of year,1
a date consists of month,1
a date consists of day,1
a date does not refer to a specific moment,1
a date does not refer to time,1
the date type represents a date,1
the date type represents time,1
google chrome was first publicly released for a beta version,1
google chrome is available in 53 languages,1
google chrome was first publicly released for microsoft windows,1
microsoft sql server was based on sybase ase code,1
microsoft sql server was based on a partnership,1
perl runs on over 100 platforms,1
perl runs on over portables,1
perl is suitable for scale development projects,1
google maps provided by google,1
opencv provides a rich api,1
opencv was officially launched by intel,1
opencv is now supported by itseez,1
opencv saw a strong acceleration,1
hypertext transfer protocol uses response model,1
the request are made up of a header,1
the request are made up of an optional body,1
response are made up of a header,1
response are made up of an optional body,1
a header contains a list,1
an optional body contains a list,1
a request may have headers,1
the response can be sent with the body,1
a request needs a body,1
http is used by browsers,1
http be used for a soap,1
http be used for graphql service,1
http retrieve web content,1
apache cordova provides a javascript library,1
apache cordova provides wrapper,1
apache cordova was originally called phonegap,1
nitobi was acquired by adobe,1
the phonegap code was donated to apache,1
adobe contributes to the original phonegap site,1
phonegap build supports ios,1
phonegap build supports android,1
phonegap build supports windows phone,1
the w3c standardizes wsdl,1
a datetime object describes a date,1
a datetime object describes a time,1
a datetime object can express a calendar,1
a datetime object can express time,1
a datetime object describes a date,1
a datetime object describes a time,1
a datetime object can express a calendar,1
a datetime object can express time,1
timestamp values represent a moment,1
timestamp values are based on unix time,1
date objects are based on a time value,1
a date can be used to manipulate minutes values,1
time function can be used to manipulate minutes values,1
matplotlib provides api,1
matplotlib using toolkits,1
pdf using toolkits,1
ps using toolkits,1
eps using toolkits,1
tiff using toolkits,1
jpeg using toolkits,1
pgf using toolkits,1
svg files using toolkits,1
plot using toolkits,1
a layout defines the visual structure,1
a layout is made up of view,1
a layout is made up of viewgroup,1
android provides a straightforward xml vocabulary,1
a straightforward xml vocabulary corresponds to the view classes,1
cloud services include cloud building,1
objects have members,1
objects have methods,1
classes can have own members,1
classes can have methods,1
own members define the properties,1
own members define abilities,1
methods define the properties,1
methods define abilities,1
modern email operates across the internet,1
modern email operates across other computer networks,1
today's email systems are based on forward model,1
email servers accept messages,1
methods can access attributes,1
spring mvc stands for model view controller,1
kotlin combines oop,1
kotlin is focused on tooling support,1
kotlin is focused on interoperability,1
kotlin is focused on safety,1
kotlin is focused on clarity,1
kotlin targets the jvm,1
kotlin targets javascript,1
kotlin supports jvm bytecode,1
kotlin supports javascript,1
kotlin supports native code,1
sql server aims to make tuning,1
sql server aims to make self organizing,1
geography uses an ellipsoidal model,1
sql server includes compression features,1
sql server enhanced the indexing algorithms,1
sql server includes resource governor,1
resource governor allows reserving workflows,1
resource governor allows reserving certain users,1
sql server includes capabilities,1
sql server supports data definition,1
sql server supports the ado.net entity framework,1
sql server supports the reporting tools,1
sql server supports replication,1
dundas data visualization was acquired by microsoft,1
sql server reporting services includes the declarative management framework,1
the declarative management framework allows configuring configuring policies,1
the declarative management framework allows configuring constraints,1
sql server reporting services includes the management side,1
the declarative management framework allows configuring the entire database,1
the declarative management framework allows configuring certain tables,1
the iso standard is withdrawn from the iso website,1
database development tool combines ace database engine,1
database development tool combines a graphical user interface,1
database development tool uses ace database engine,1
database development tool uses the jet,1
an open source project enables modular program construction,1
jsp supports taglibs,1
taglibs are backed by pieces,1
jsp supports expression language,1
jsp runs in producing html output,1
jsp runs in the web server,1
jsp don't run in sync,1
javascript don't run in sync,1
jsp has been succeeded by java ee,1
jsp has been succeeded by facelets,1
jsp is not treated in the java ee 6 tutorial,1
the listview control is used extensively in the windows ui shell,1
the listview control providing the display surface,1
the listview control is provided by the common controls library,1
the listview control can be used by any application,1
gtk are implemented as columnar treeview,1
a pointer variable contains a memory address,1
pointers have performance benefits,1
windows communication foundation is designed using architecture principles,1
services have a wsdl interface,1
windows communication foundation implements many advanced web services,1
framework provides routing,1
framework provides rss syndication services,1
an endpoint has an address,1
the endpoint can be accessed binding properties,1
batch files are still supported under windows,1
authentication is different than authorization,1
authentication allow access,1
authentication happen together to verify identity,1
authorization happen together to verify identity,1
each authentication factor covers elements,1
elasticsearch is often combined with logstash,1
elasticsearch is often combined with kibana,1
stack has now been renamed elastic stack,1
elasticsearch comes with preprocessing algorithms,1
official clients are available in ruby,1
official clients are available in java,1
official clients are available in javascript,1
official clients are available in c#,1
official clients are available in php,1
official clients are available in python,1
templates allow for generic programming,1
the c++ book guide contains books treating templates,1
variables are constrained by languages,1
variables are constrained by a specific data type,1
data types share many commonalities,1
data types may vary across languages,1
composite data types consist of other composite types,1
composite data types consist of the primitive types,1
the specifics vary programming languages,1
the specifics vary implementations,1
the specifics vary programming languages,1
the specifics vary implementations,1
dart compiles to modern javascript,1
dart provides tools,1
delphi originated in borland,1
delphi is currently owned by embarcadero,1
delphi prism is mostly compatible with delphi syntax,1
breakpoints can display a message containing program information,1
breakpoints can be created using a debugging tool,1
breakpoints can be created using simple form,1
visual studio comes with partial c++11 support,1
nginx is known for low resource consumption,1
nginx is known for high performance,1
nginx is known for stability,1
nginx is known for rich feature set,1
nginx is known for simple configuration,1
haskell allows rapid development,1
char8 module can be used for instance,1
char8 module can be used for an efficient representation,1
ssl is used as a blanket term,1
ssl refers to the transport layer security,1
netscape communication corp pioneered primitive security protocol,1
netscape communication corp pioneered ssl,1
the http protocol running over tls,1
iso is important as a reference,1
iso is not exactly written for pdf beginners,1
letters can be encoded as raster images,1
letters can be encoded as line art,1
letters can be encoded as vector graphics,1
letters can be encoded as font glyphs,1
a pdf files contain drawing drawing instructions,1
machine learning revolves around developing learning computer algorithms,1
machine learning explores the construction,1
machine learning explores study,1
xamarin is headquartered in an engineering office,1
xamarin is headquartered in san francisco,1
xamarin was acquired by microsoft,1
the xamarin platform includes visual studio,1
xamarin created the xamarin platform,1
the xamarin platform includes xamarin.ios,1
xamarin introduced build host,1
build host provides the connection,1
build host enhances access,1
jpa is now considered the standard industry approach,1
jpa includes several improvements,1
purpose os was developed by the late 1960s,1
purpose os was developed by bell labs,1
unix was developed as house operating system,1
